,Player,npxG,matched_name,score,first_name,second_name,element_type,now_cost
1,Tyler Adams,1.1,tyler adams,100.0,Tyler,Adams,MID,49.0
3,Simon Adingra,2.75,simon adingra,100.0,Simon,Adingra,MID,52.0
5,Rayan AÃ¯t-Nouri,3.15,rayan ait-nouri,90.32258064516128,Rayan,Aït-Nouri,DEF,48.0
6,Kristoffer Ajer,1.15,kristoffer ajer,100.0,Kristoffer,Ajer,DEF,44.0
7,Manuel Akanji,1.25,manuel akanji,100.0,Manuel,Akanji,DEF,53.0
8,Nathan AkÃ©,1.45,nathan ake,78.26086956521739,Nathan,Aké,DEF,53.0
9,Trent Alexander-Arnold,1.8499999999999999,trent alexander-arnold,100.0,Trent,Alexander-Arnold,DEF,71.0
11,Miguel AlmirÃ³n,2.75,miguel almiron rejala,72.22222222222221,Miguel,Almirón Rejala,MID,55.0
14,Joachim Andersen,1.05,joachim andersen,100.0,Joachim,Andersen,DEF,42.0
15,Elliot Anderson,1.75,elliot anderson,100.0,Elliot,Anderson,MID,50.0
16,Michail Antonio,5.1,michail antonio,100.0,Michail,Antonio,FWD,53.0
17,Antony,2.0,ivan toney,75.0,Ivan,Toney,FWD,73.0
18,Cameron Archer,6.35,cameron archer,100.0,Cameron,Archer,FWD,50.0
19,Cameron Archer,3.6,cameron archer,100.0,Cameron,Archer,FWD,50.0
21,Taiwo Awoniyi,2.95,taiwo awoniyi,100.0,Taiwo,Awoniyi,FWD,55.0
22,Jordan Ayew,2.45,jordan ayew,100.0,Jordan,Ayew,MID,52.0
23,Jordan Ayew,3.55,jordan ayew,100.0,Jordan,Ayew,MID,52.0
25,Leon Bailey,3.75,leon bailey,100.0,Leon,Bailey,MID,62.0
26,Carlos Baleba,1.5,carlos baleba,100.0,Carlos,Baleba,MID,50.0
27,Ross Barkley,3.55,ross barkley,100.0,Ross,Barkley,MID,52.0
28,Harvey Barnes,4.6,harvey barnes,100.0,Harvey,Barnes,MID,61.0
30,Jean-Ricner Bellegarde,1.4,jean-ricner bellegarde,100.0,Jean-Ricner,Bellegarde,MID,49.0
31,Rodrigo Bentancur,1.75,rodrigo bentancur,100.0,Rodrigo,Bentancur,MID,49.0
32,Sander Berge,1.05,sander berge,100.0,Sander,Berge,MID,50.0
33,Beto,4.7,,,,,,
34,Philip Billing,1.85,philip billing,100.0,Philip,Billing,MID,48.0
35,Yves Bissouma,1.0,yves bissouma,100.0,Yves,Bissouma,MID,49.0
37,Jarrod Bowen,9.7,jarrod bowen,100.0,Jarrod,Bowen,MID,75.0
39,Jarrad Branthwaite,1.05,jarrad branthwaite,100.0,Jarrad,Branthwaite,DEF,48.0
40,Ben Brereton,3.55,ben brereton diaz,82.75862068965517,Ben,Brereton Díaz,MID,49.0
41,Armando Broja,1.3,armando broja,100.0,Armando,Broja,FWD,54.0
43,David Brooks,2.0,david brooks,100.0,David,Brooks,MID,49.0
45,Facundo Buonanotte,4.4,facundo buonanotte,100.0,Facundo,Buonanotte,MID,49.0
46,Dan Burn,2.25,dan burn,100.0,Dan,Burn,DEF,44.0
49,Dominic Calvert-Lewin,10.3,dominic calvert-lewin,100.0,Dominic,Calvert-Lewin,FWD,54.0
50,Diego Carlos,1.5499999999999998,carlos soler,66.66666666666667,Carlos,Soler,MID,50.0
51,Casemiro,2.75,,,,,,
53,Matty Cash,2.3000000000000003,matty cash,100.0,Matty,Cash,DEF,44.0
55,Trevoh Chalobah,1.5,trevoh chalobah,100.0,Trevoh,Chalobah,DEF,44.0
56,Ryan Christie,2.05,ryan christie,100.0,Ryan,Christie,MID,49.0
59,Nathan Collins,2.95,nathan collins,100.0,Nathan,Collins,DEF,46.0
60,Levi Colwill,1.05,levi colwill,100.0,Levi,Colwill,DEF,46.0
66,Matheus Cunha,8.45,,,,,,
67,Diogo Dalot,2.05,diogo dalot teixeira,70.96774193548387,Diogo,Dalot Teixeira,DEF,51.0
68,Mikkel Damsgaard,2.15,mikkel damsgaard,100.0,Mikkel,Damsgaard,MID,50.0
70,Ben Davies,1.15,ben davies,100.0,Ben,Davies,DEF,43.0
71,Craig Dawson,1.25,craig dawson,100.0,Craig,Dawson,DEF,44.0
72,Kevin De Bruyne,3.3,kevin de bruyne,100.0,Kevin,De Bruyne,MID,95.0
73,Amad Diallo,2.55,amad diallo,100.0,Amad,Diallo,MID,54.0
74,RÃºben Dias,1.8,ruben gato alves dias,62.5,Rúben,Gato Alves Dias,DEF,54.0
75,Luis DÃ­az,11.05,luis diaz,88.88888888888889,Luis,Díaz,MID,75.0
76,Lucas Digne,1.15,lucas digne,100.0,Lucas,Digne,DEF,46.0
78,Axel Disasi,1.4,axel disasi,100.0,Axel,Disasi,DEF,42.0
79,Matt Doherty,1.0,matt doherty,100.0,Matt,Doherty,DEF,43.0
80,Jeremy Doku,1.95,jeremy doku,100.0,Jérémy,Doku,MID,62.0
81,NicolÃ¡s DomÃ­nguez,1.85,nicolas dominguez,91.42857142857143,Nicolás,Domínguez,MID,48.0
82,Abdoulaye DoucourÃ©,5.1000000000000005,abdoulaye doucoure,87.17948717948718,Abdoulaye,Doucouré,MID,51.0
87,Lewis Dunk,2.25,lewis dunk,100.0,Lewis,Dunk,DEF,44.0
88,Jhon DurÃ¡n,5.8,jhon duran,95.23809523809523,Jhon,Durán,FWD,59.0
90,Odsonne Ãdouard,3.5,odsonne edouard,93.33333333333333,Odsonne,Edouard,FWD,51.0
91,Odsonne Ãdouard,3.1,odsonne edouard,93.33333333333333,Odsonne,Edouard,FWD,51.0
92,Anthony Elanga,5.3,anthony elanga,100.0,Anthony,Elanga,MID,51.0
93,Harvey Elliott,1.35,harvey elliott,100.0,Harvey,Elliott,MID,52.0
94,Julio Enciso,1.7,julio enciso,100.0,Julio,Enciso,MID,54.0
97,Pervis EstupiÃ±Ã¡n,1.0,pervis estupinan,85.71428571428572,Pervis,Estupiñán,DEF,51.0
99,Eberechi Eze,8.15,eberechi eze,100.0,Eberechi,Eze,MID,66.0
101,Evan Ferguson,2.8,evan ferguson,100.0,Evan,Ferguson,FWD,55.0
102,Bruno Fernandes,7.6499999999999995,bruno borges fernandes,81.08108108108108,Bruno,Borges Fernandes,MID,84.0
103,Enzo FernÃ¡ndez,4.1,enzo fernandez,96.55172413793103,Enzo,Fernández,MID,51.0
105,Phil Foden,7.3500000000000005,phil foden,100.0,Phil,Foden,MID,92.0
106,Cody Gakpo,7.8,cody gakpo,100.0,Cody,Gakpo,FWD,72.0
107,Idrissa Gana Gueye,1.4500000000000002,idrissa gueye,83.87096774193549,Idrissa,Gueye,MID,48.0
108,Alejandro Garnacho,8.350000000000001,alejandro garnacho,100.0,Alejandro,Garnacho,MID,61.0
109,James Garner,1.35,james garner,100.0,James,Garner,MID,49.0
110,Morgan Gibbs-White,5.05,morgan gibbs-white,100.0,Morgan,Gibbs-White,MID,63.0
112,JoÃ£o Gomes,2.45,joe gomez,66.66666666666667,Joe,Gomez,DEF,49.0
115,Anthony Gordon,8.6,anthony gordon,100.0,Anthony,Gordon,MID,73.0
116,Ryan Gravenberch,1.6,ryan gravenberch,100.0,Ryan,Gravenberch,MID,50.0
117,Jack Grealish,1.75,jack grealish,100.0,Jack,Grealish,MID,64.0
