Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
1,Max Aarons,eng ENG,DF,Bournemouth,23,2000,20,13,1237,13.7,0,1,1,0,0,0,1,0,0,0,0.8,0.9,22,43,26
2,Joshua Acheampong,eng ENG,DF,Chelsea,17,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BÃ©nie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,20,2002,8,3,387,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,7,9,14
4,Tyler Adams,us USA,MF,Bournemouth,24,1999,3,1,121,1.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,5,1
5,Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,20,18,1617,18,2,0,2,2,0,0,2,0,0.7,0.7,0.1,0.8,10,62,5
6,Elijah Adebayo,eng ENG,FW,Luton Town,25,1998,27,16,1419,15.8,10,0,10,10,0,0,1,0,5.9,5.9,0.7,6.6,16,23,110
7,Simon Adingra,ci CIV,FW,Brighton,21,2002,31,25,2222,24.7,6,1,7,6,0,0,3,0,4.3,4.3,3.7,8,111,50,278
8,Nayef Aguerd,ma MAR,DF,West Ham,27,1996,21,21,1857,20.6,1,0,1,1,0,0,3,1,1.5,1.5,0.3,1.8,10,68,3
9,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21,2002,20,0,349,3.9,0,0,0,0,0,0,4,1,0.5,0.5,0,0.5,19,25,20
11,Anel AhmedhodÅ¾iÄ,ba BIH,DF,Sheffield Utd,24,1999,31,29,2649,29.4,2,0,2,2,0,0,11,1,3.1,3.1,0.8,4,15,43,21
12,Ola Aina,ng NGA,DF,Nott'ham Forest,26,1996,22,20,1692,18.8,1,1,2,1,0,0,3,0,0.3,0.3,0.9,1.2,53,68,38
13,Rayan AÃ¯t-Nouri,dz ALG,"DF,MF",Wolves,22,2001,33,29,2329,25.9,2,1,3,2,0,0,7,0,3.3,3.3,2.4,5.6,67,99,99
14,Kristoffer Ajer,no NOR,DF,Brentford,25,1998,28,21,1832,20.4,2,1,3,2,0,0,5,0,1.3,1.3,2.3,3.6,22,61,31
15,Manuel Akanji,ch SUI,"DF,MF",Manchester City,28,1995,30,28,2511,27.9,2,0,2,2,0,0,4,1,1.9,1.9,0.5,2.4,46,148,36
16,Nathan AkÃ©,nl NED,DF,Manchester City,28,1995,29,24,2042,22.7,2,2,4,2,0,0,0,0,2.5,2.5,1.2,3.7,24,116,18
17,Thiago AlcÃ¡ntara,es ESP,MF,Liverpool,32,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24,1998,28,25,2155,23.9,3,4,7,3,0,0,6,0,2.6,2.3,7.2,9.5,45,205,97
19,Alisson,br BRA,GK,Liverpool,30,1992,28,28,2520,28,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0
20,Miguel AlmirÃ³n,py PAR,FW,Newcastle Utd,29,1994,33,23,1937,21.5,3,1,4,3,0,0,2,0,4.5,4.5,2.6,7.2,78,78,162
21,Edson Ãlvarez,mx MEX,MF,West Ham,25,1997,31,28,2377,26.4,1,1,2,1,0,0,11,0,1.3,1.3,0.6,1.9,20,91,26
22,JuliÃ¡n Ãlvarez,ar ARG,"MF,FW",Manchester City,23,2000,36,31,2647,29.4,11,8,19,9,2,2,2,0,13,11.5,6.4,17.9,64,103,180
23,Zeki Amdouni,ch SUI,FW,Burnley,22,2000,34,27,1953,21.7,5,1,6,4,1,1,2,0,5.8,5,1.4,6.5,63,49,93
24,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,26,1996,21,10,938,10.4,0,0,0,0,0,0,6,0,0.1,0.1,0.3,0.4,6,66,10
25,Joachim Andersen,dk DEN,DF,Crystal Palace,27,1996,38,38,3415,37.9,2,3,5,2,0,0,7,0,1.7,1.7,2.8,4.5,21,147,10
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
26,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,20,2002,21,10,1027,11.4,0,2,2,0,0,0,3,0,1.5,1.5,1.9,3.5,37,57,70
27,Jaidon Anthony,eng ENG,FW,Bournemouth,23,1999,3,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,8,9
28,Michail Antonio,jm JAM,FW,West Ham,33,1990,26,21,1695,18.8,6,2,8,6,0,0,6,0,5.8,5.8,0.9,6.7,48,22,104
29,Antony,br BRA,FW,Manchester Utd,23,2000,29,15,1324,14.7,1,1,2,1,0,0,5,0,3.4,3.4,2.8,6.1,53,64,149
30,Oliver Arblaster,eng ENG,MF,Sheffield Utd,19,2004,12,11,943,10.5,0,0,0,0,0,0,2,0,0,0,0.7,0.8,13,43,4
31,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,22,2001,29,21,1832,20.4,4,1,5,4,0,0,1,0,5.5,5.5,2.8,8.3,33,15,113
32,Cameron Archer,eng ENG,MF,Aston Villa,22,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
33,Alphonse Areola,fr FRA,GK,West Ham,30,1993,31,31,2699,30,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
34,Lorenz Assignon,tg TOG,DF,Burnley,23,2000,15,15,1234,13.7,1,2,3,1,0,0,5,1,0.4,0.4,2.6,3,38,34,57
