Name,Club,npxG,xAG,xClean,90s,first_name,second_name,Position,Cost,xG,points_for_goal,points_for_clean,xPoints
Tyler Adams,Bournemouth,1.1,0.45,13.0,10.8,Tyler,Adams,MID,49.0,1.1,5,1,10.544736842105262
Simon Adingra,Brighton,2.75,2.55,6.0,8.2,Simon,Adingra,MID,52.0,2.75,5,1,22.69473684210526
Rayan AÃ¯t-Nouri,Wolves,3.15,3.0,7.0,34.2,Rayan,Aït-Nouri,DEF,48.0,3.15,6,4,53.1
Kristoffer Ajer,Brentford,1.15,1.8499999999999999,6.0,16.0,Kristoffer,Ajer,DEF,44.0,1.15,6,4,22.555263157894736
Manuel Akanji,Manchester City,1.25,0.55,19.0,28.4,Manuel,Akanji,DEF,53.0,1.25,6,4,65.95
Nathan AkÃ©,Manchester City,1.45,0.6,19.0,10.0,Nathan,Aké,DEF,53.0,1.45,6,4,30.5
Trent Alexander-Arnold,Liverpool,1.8499999999999999,8.9,17.0,29.2,Trent,Alexander-Arnold,DEF,71.0,1.8499999999999999,6,4,90.05263157894737
Miguel AlmirÃ³n,Newcastle Utd,2.75,1.5,16.0,3.2,Miguel,Almirón Rejala,MID,55.0,2.75,5,1,19.597368421052632
Joachim Andersen,Crystal Palace,0.85,1.4,7.0,2.0,Joachim,Andersen,DEF,42.0,0.85,6,4,10.773684210526314
Joachim Andersen,Fulham,1.05,1.5999999999999999,13.0,19.4,Joachim,Andersen,DEF,42.0,1.05,6,4,37.64736842105263
Elliot Anderson,Nott'ham Forest,1.75,3.75,15.0,25.2,Elliot,Anderson,MID,50.0,1.75,5,1,29.94736842105263
Michail Antonio,West Ham,5.1,2.0500000000000003,6.0,18.6,Michail,Antonio,FWD,53.0,5.1,4,0,26.549999999999997
Antony,Manchester Utd,2.0,1.5,11.0,1.8,Ivan,Toney,FWD,73.0,2.0,4,0,12.5
Cameron Archer,Southampton,6.35,1.5999999999999999,2.0,20.6,Cameron,Archer,FWD,50.0,6.35,4,0,30.2
Cameron Archer,Southampton,6.35,1.5999999999999999,2.0,20.6,Cameron,Archer,FWD,50.0,6.35,4,0,30.2
Cameron Archer,Southampton,3.6,0.2,2.0,20.6,Cameron,Archer,FWD,50.0,3.6,4,0,15.0
Cameron Archer,Southampton,3.6,0.2,2.0,20.6,Cameron,Archer,FWD,50.0,3.6,4,0,15.0
Taiwo Awoniyi,Nott'ham Forest,2.95,0.95,15.0,5.0,Taiwo,Awoniyi,FWD,55.0,2.95,4,0,14.65
Jordan Ayew,Crystal Palace,2.45,2.1,7.0,0.4,Jordan,Ayew,MID,52.0,2.45,5,1,18.623684210526317
Jordan Ayew,Crystal Palace,2.45,2.1,7.0,0.4,Jordan,Ayew,MID,52.0,2.45,5,1,18.623684210526317
Jordan Ayew,Leicester City,3.55,2.3000000000000003,1.0,18.4,Jordan,Ayew,MID,52.0,3.55,5,1,25.134210526315787
Jordan Ayew,Leicester City,3.55,2.3000000000000003,1.0,18.4,Jordan,Ayew,MID,52.0,3.55,5,1,25.134210526315787
Leon Bailey,Aston Villa,3.75,5.8999999999999995,16.0,16.8,Leon,Bailey,MID,62.0,3.75,5,1,43.52368421052632
Carlos Baleba,Brighton,1.5,0.75,6.0,24.0,Carlos,Baleba,MID,50.0,1.5,5,1,13.539473684210526
Ross Barkley,Aston Villa,3.55,2.35,16.0,10.4,Ross,Barkley,MID,52.0,3.55,5,1,29.178947368421053
Harvey Barnes,Newcastle Utd,4.6,4.0,16.0,17.0,Harvey,Barnes,MID,61.0,4.6,5,1,42.1578947368421
Jean-Ricner Bellegarde,Wolves,1.4,1.1,7.0,17.2,Jean-Ricner,Bellegarde,MID,49.0,1.4,5,1,13.46842105263158
Rodrigo Bentancur,Tottenham,1.75,0.35,10.0,15.2,Rodrigo,Bentancur,MID,49.0,1.75,5,1,13.8
Sander Berge,Fulham,1.05,1.6,13.0,21.2,Sander,Berge,MID,50.0,1.05,5,1,17.30263157894737
Beto,Everton,4.7,0.45,12.0,5.0,,,,,4.7,4,0,20.150000000000002
Philip Billing,Bournemouth,1.85,2.6,13.0,3.8,Philip,Billing,MID,48.0,1.85,5,1,18.35
Yves Bissouma,Tottenham,1.0,0.4,10.0,19.8,Yves,Bissouma,MID,49.0,1.0,5,1,11.410526315789474
Jarrod Bowen,West Ham,9.7,6.85,6.0,36.8,Jarrod,Bowen,MID,75.0,9.7,5,1,74.86052631578947
Jarrad Branthwaite,Everton,1.05,0.5,12.0,18.2,Jarrad,Branthwaite,DEF,48.0,1.05,6,4,30.789473684210524
Ben Brereton,Southampton,3.55,0.85,2.0,10.0,Ben,Brereton Díaz,MID,49.0,3.55,5,1,20.826315789473686
Armando Broja,Everton,1.3,0.2,12.0,2.8,Armando,Broja,FWD,54.0,1.3,4,0,5.800000000000001
Armando Broja,Everton,0.1,0.30000000000000004,12.0,2.8,Armando,Broja,FWD,54.0,0.1,4,0,1.3000000000000003
David Brooks,Bournemouth,2.0,1.2,13.0,5.4,David,Brooks,MID,49.0,2.0,5,1,15.447368421052632
Facundo Buonanotte,Leicester City,4.4,3.6,1.0,23.0,Facundo,Buonanotte,MID,49.0,4.4,5,1,33.40526315789474
Dan Burn,Newcastle Utd,2.25,0.75,16.0,34.0,Dan,Burn,DEF,44.0,2.25,6,4,73.01315789473685
Dominic Calvert-Lewin,Everton,10.3,1.9500000000000002,12.0,29.4,Dominic,Calvert-Lewin,FWD,54.0,13.175600000000001,4,0,58.552400000000006
Diego Carlos,Aston Villa,1.5499999999999998,0.05,16.0,16.4,Carlos,Soler,MID,50.0,1.5499999999999998,5,1,14.805263157894736
Casemiro,Manchester Utd,2.75,2.6,11.0,17.2,,,,,2.75,4,0,18.8
