surname,team_name,position,cost,goal_points,assist_points,clean_points,conceded_points,defcon_points,appearance_points,bonus_points,xPoints
Haaland,Man City,FWD,155,102.0,8.01,0.0,-0.0,0.007775604595057928,68.0,43.0,221.01777560459504
B.Fernandes,Man Utd,MID,120,53.949999999999996,36.839999999999996,8.06578947368421,-0.0,9.890561200228962,69.0,41.0,218.74635067391316
Gabriel,Arsenal,DEF,80,17.64,5.25,70.76023391812866,-2.412280701754386,25.740921525186923,62.0,30.0,208.97887474156119
Virgil,Liverpool,DEF,65,22.62,4.32,60.0,-8.0,33.98875917119439,76.0,10.0,198.92875917119437
Senesi,Spurs,DEF,60,9.18,14.16,38.45614035087719,-6.729824561403508,45.84711961735219,74.0,14.0,188.91343540682587
Thiago,Brentford,FWD,80,82.4,5.49,0.0,-0.0,1.260713076587732,75.0,22.0,186.15071307658775
Rice,Arsenal,MID,75,15.75,21.96,19.896491228070175,-0.0,28.432952867556956,71.0,23.0,180.03944409562712
Enzo,Chelsea,MID,70,56.3,21.78,5.463157894736843,-0.0,3.8568345803738393,71.0,19.0,177.39999247511068
Anderson,Man City,MID,65,14.7,14.370000000000001,11.69122807017544,-0.0,44.95297959679415,75.0,16.0,176.7142076669696
Guéhi,Man City,DEF,60,24.299999999999997,7.11,44.21052631578947,-4.605263157894736,19.341800447233876,70.0,14.0,174.35706360512862
Van Hecke,Spurs,DEF,50,19.86,4.71,37.5438596491228,-6.570175438596491,34.82812821295979,72.0,8.0,170.3718124234861
Semenyo,Man City,MID,85,55.5,9.36,11.228070175438598,-0.0,2.7470375498398725,72.0,18.0,168.83510772527848
Szoboszlai,Liverpool,MID,70,23.799999999999997,20.490000000000002,14.175438596491228,-0.0,17.144260076649857,72.0,21.0,168.60969867314108
Truffert,Bournemouth,DEF,55,8.100000000000001,9.209999999999999,43.459649122807015,-8.889473684210525,21.45427256393939,76.0,19.0,168.33444800253588
Tarkowski,Everton,DEF,60,15.18,6.300000000000001,27.263157894736842,-8.763157894736842,41.60183408281667,74.0,12.0,167.58183408281667
Garner,Everton,MID,60,10.5,18.54,6.985672514619884,-0.0,41.50360106089758,76.0,13.0,166.52927357551746
Mbeumo,Man Utd,MID,80,59.900000000000006,14.97,6.871052631578947,-0.0,0.22836809262049093,64.0,16.0,161.96942072419944
J.Timber,Arsenal,DEF,65,28.259999999999998,4.59,63.09239766081871,-2.150877192982456,2.743052349620788,56.0,9.0,161.53457281745705
João Pedro,Chelsea,FWD,75,59.64,5.88,0.0,-0.0,0.19127651302914422,65.0,30.0,160.71127651302913
Watkins,Aston Villa,FWD,80,61.6,3.54,0.0,-0.0,0.004306174020778449,69.0,26.0,160.14430617402078
Thiaw,Newcastle,DEF,50,28.799999999999997,2.88,31.18947368421053,-7.797368421052632,26.034136905445042,67.0,12.0,160.10624216860293
Lacroix,Crystal Palace,DEF,60,14.700000000000001,2.4899999999999998,25.257309941520468,-6.314327485380117,43.65206138975916,69.0,11.0,159.7850438458995
Gibbs-White,Nott'm Forest,MID,80,54.050000000000004,8.73,5.440350877192982,-0.0,0.4799441262538671,72.0,18.0,158.70029500344685
Tavernier,Bournemouth,MID,60,45.300000000000004,13.799999999999999,8.787134502923976,-0.0,8.031314949779809,65.0,14.0,154.91844945270378
O'Reilly,Man City,DEF,65,36.72,8.01,37.09473684210526,-3.864035087719298,4.371557203032323,62.0,10.0,154.33225895741828
Saliba,Arsenal,DEF,60,5.28,3.63,67.26081871345029,-2.2929824561403507,7.865318917201319,59.0,12.0,152.74315517451126
E.Le Fée,Sunderland,MID,60,26.099999999999998,17.85,4.283625730994152,-0.0,18.268047425205136,69.0,16.0,151.50167315619927
Scott,Bournemouth,MID,60,19.0,8.82,9.160233918128656,-0.0,35.495854100313124,70.0,9.0,151.47608801844177
Calvert-Lewin,Leeds,FWD,60,62.28,3.18,0.0,-0.0,0.01631540151996755,65.0,20.0,150.47631540151997
Collins,Brentford,DEF,55,13.440000000000001,5.13,31.273684210526316,-6.949707602339181,32.966064243049885,67.0,7.0,149.86004085123702
Saka,Arsenal,MID,95,37.85,21.48,14.267836257309941,-0.0,3.808950700825257,54.0,18.0,149.4067869581352
Ampadu,Leeds,MID,55,12.350000000000001,6.6000000000000005,10.031871345029241,-0.0,37.34778028704101,70.0,11.0,147.32965163207024
Rogers,Chelsea,MID,75,34.2,12.96,5.754385964912281,-0.0,3.3037897940080856,74.0,17.0,147.21817575892038
Schade,Brentford,MID,60,60.4,6.1499999999999995,7.221052631578948,-0.0,1.5754159782444281,65.0,5.0,145.34646860982338
Wilson,Leeds,MID,65,29.4,14.309999999999999,8.600584795321637,-0.0,1.612954412210325,66.0,21.0,140.92353920753197
Gakpo,Liverpool,MID,70,41.75,14.01,11.999999999999998,-0.0,0.3315479883109688,67.0,5.0,140.09154798831096
Struijk,Brighton,DEF,50,18.36,2.2800000000000002,30.894736842105267,-6.007309941520468,24.10438865500506,66.0,4.0,139.63181555558987
Bruno G.,Newcastle,MID,70,27.95,14.879999999999999,6.463157894736842,-0.0,11.821612501106397,56.0,22.0,139.11477039584324
Wirtz,Liverpool,MID,75,34.15,15.419999999999998,10.412280701754387,-0.0,2.105078547632016,60.0,17.0,139.0873592493864
Richards,Crystal Palace,DEF,50,14.52,4.68,23.128654970760234,-5.7821637426900585,33.30386618449001,64.0,5.0,138.8503574125602
Ndiaye,Everton,MID,60,33.4,13.23,5.692105263157894,-0.0,13.141279191250756,64.0,7.0,136.46338445440864
Van den Berg,Brentford,DEF,50,20.16,4.35,29.063157894736843,-6.458479532163743,24.23476007038465,62.0,3.0,136.34943843295775
N.Williams,Nott'm Forest,DEF,50,12.059999999999999,11.91,22.47719298245614,-8.428947368421053,11.638208287928837,71.0,15.0,135.6564539019639
Fernandes,Spurs,MID,60,9.95,8.879999999999999,8.821637426900587,-0.0,30.47900061573627,70.0,7.0,135.13063804263686
Keane,Everton,DEF,50,13.799999999999999,1.47,21.188304093567254,-6.810526315789474,34.687267404100865,62.0,8.0,134.33504518187863
Zubimendi,Arsenal,MID,55,14.2,6.8100000000000005,19.240350877192984,-0.0,14.665492855333309,70.0,9.0,133.9158437325263
Welbeck,Brighton,FWD,60,49.44,4.199999999999999,0.0,-0.0,0.11637239672795396,62.0,18.0,133.75637239672795
O.Dango,Brentford,MID,65,39.7,12.36,5.976315789473685,-0.0,3.521103433806544,56.0,16.0,133.55741922328025
Rodon,Leeds,DEF,45,8.399999999999999,1.6800000000000002,37.978947368421046,-8.63157894736842,21.524095466497183,67.0,5.0,132.9514638875498
Van de Ven,Spurs,DEF,50,16.919999999999998,1.1400000000000001,35.567251461988306,-6.224269005847954,7.034495876608218,68.0,10.0,132.43747833274858
Kayode,Brentford,DEF,45,7.68,8.67,34.294736842105266,-7.621052631578948,6.326997796804681,74.0,9.0,132.350682007331
Cunha,Man Utd,MID,80,34.5,10.08,6.560526315789473,-0.0,4.780783111444961,61.0,14.0,130.92130942723443
Matheus N.,Man City,DEF,60,2.04,6.6899999999999995,40.15438596491228,-4.182748538011696,5.942825178236916,64.0,16.0,130.6444626051375
Andersen,Fulham,DEF,50,8.58,5.49,13.483040935672516,-5.898830409356726,36.88074651537514,64.0,8.0,130.53495704169092
Pedro Porro,Spurs,DEF,55,6.300000000000001,13.11,32.66666666666667,-5.716666666666668,10.6765864502605,65.0,8.0,130.0365864502605
Mateta,Crystal Palace,FWD,65,57.68,3.96,0.0,-0.0,0.30647871655020476,55.0,13.0,129.9464787165502
F.Kadıoğlu,Brighton,DEF,45,12.36,9.93,32.94736842105263,-6.406432748538012,1.9442010286828588,72.0,7.0,129.77513670119748
Gyökeres,Arsenal,FWD,75,49.04,5.82,0.0,-0.0,0.012551796247382977,58.0,16.0,128.8725517962474
Mitchell,Crystal Palace,DEF,45,9.540000000000001,7.59,26.632748538011697,-6.658187134502924,10.681271559670007,73.0,8.0,128.7858329631788
Gravenberch,Liverpool,MID,60,9.45,6.779999999999999,13.11842105263158,-0.0,12.880720373276382,69.0,17.0,128.22914142590795
Dewsbury-Hall,Everton,MID,65,21.75,16.02,5.380994152046783,-0.0,6.018896510346787,60.0,18.0,127.16989066239356
Wharton,Crystal Palace,MID,55,7.6,22.41,5.223391812865496,-0.0,21.73589257141291,62.0,8.0,126.96928438427841
Kroupi.Jr,Bournemouth,MID,75,41.550000000000004,4.53,5.348830409356725,-0.0,0.7948927717274027,61.0,13.0,126.22372318108413
Shaw,Man Utd,DEF,45,4.32,5.9399999999999995,33.89473684210526,-3.7660818713450293,7.373859984723936,75.0,3.0,125.76251495548416
Mukiele,Sunderland,DEF,55,9.72,7.949999999999999,16.280701754385966,-6.512280701754386,24.103526201245753,63.0,11.0,125.54194725387734
Alderete,Sunderland,DEF,50,9.72,2.73,16.356725146198833,-6.542690058479533,33.997896635146,64.0,5.0,125.2619317228653
Caicedo,Chelsea,MID,55,7.25,7.14,4.905263157894737,-0.0,31.884046687997472,64.0,10.0,125.1793098458922
Xhaka,Sunderland,MID,55,5.05,11.19,4.241228070175438,-0.0,28.896608946894908,66.0,8.0,123.37783701707035
Milenković,Nott'm Forest,DEF,55,4.9799999999999995,2.04,23.684210526315788,-8.881578947368421,24.027987503033575,75.0,2.0,122.85061908198094
Palmer,Chelsea,MID,95,52.75,7.470000000000001,3.428070175438597,-0.0,1.1057340002895897,47.0,11.0,122.75380417572819
Sarr,Crystal Palace,MID,65,54.65,3.51,4.447660818713451,-0.0,0.6614088039289345,50.0,9.0,122.26906962264238
Foden,Man City,MID,70,30.150000000000002,14.28,7.291228070175439,-0.0,2.3199410902413735,55.0,13.0,122.04116916041681
Stach,Leeds,MID,60,14.399999999999999,13.41,7.6195906432748535,-0.0,16.598136666903407,56.0,14.0,122.02772731017825
Neto,Chelsea,MID,65,22.95,20.52,4.612280701754386,-0.0,0.076632627498641,64.0,9.0,121.15891332925302
Cherki,Man City,MID,75,21.400000000000002,26.61,6.217543859649123,-0.0,1.8561722282842934,49.0,16.0,121.08371608793342
Gomez,Brighton,MID,50,31.200000000000003,5.16,5.571052631578947,-0.0,14.900450263787027,55.0,9.0,120.83150289536599
Dalot,Man Utd,DEF,50,11.58,7.709999999999999,27.46315789473684,-3.0514619883040934,5.744614082027512,62.0,9.0,120.44630998846026
Bogle,Leeds,DEF,45,12.48,9.33,35.95906432748538,-8.17251461988304,4.1421182119973405,65.0,1.0,119.73866791959969
