published_at,content
2022-04-03 18:11:36+00,If you like this bot please consider helping authors with their monthly bills for hosting. You can donate via https://t.co/nlgfzDI1js  Appreciate your support Thank you
2024-07-15 04:11:43+00,Argentina 1 : 0 Colombia  ▪ xG: 0.81 - 0.88 ▪ xThreat: 1.64 - 2.07 ▪ Possession: 44.4% - 55.6% ▪ Field Tilt: 48.1% - 51.9% ▪ Def Action Height: 42.0 - 44.0 https://t.co/JX1zy2n9KG
2024-07-15 04:12:08+00,Argentina 1 : 0 Colombia  ▪ Pass directness: 34.2 - 31.5 ▪ 10+ pass sequences: 14 - 24 ▪ Goalkick length: 36.1 - 39.2 ▪ Goalkick progr.: 39.2 - 41.5 https://t.co/12BggQkbll
2024-07-15 04:12:12+00,Davinson Sánchez vs. Argentina  Successful Passes: 70 Expected Threat: 0.22 Progression via pass: 7.83 Progression via carry: 2.64 https://t.co/NYgtu5Kc1s
2024-07-15 03:29:52+00,Argentina 0 : 0 Colombia  ▪ Penbox shots: 7 - 8 ▪ Deep completions: 9 - 11 ▪ Buildup completion: 86.9% - 86.7% ▪ PPDA: 15.3 - 11.2 ▪ High turnovers: 6 - 2 https://t.co/zfNcu4J1LC
2024-07-14 20:55:52+00,Spain 2 : 1 England  ▪ xG: 2.55 - 0.92 ▪ xThreat: 1.59 - 0.81 ▪ Possession: 65.2% - 34.8% ▪ Field Tilt: 69.8% - 30.2% ▪ Def Action Height: 55.7 - 48.9 https://t.co/SDTmF0nJY0
2024-07-14 20:56:13+00,Spain 2 : 1 England  ▪ Pass directness: 28.0 - 30.1 ▪ 10+ pass sequences: 24 - 10 ▪ Goalkick length: 22.1 - 52.6 ▪ Goalkick progr.: 34.1 - 30.6 https://t.co/uBN0NtyZyS
2024-07-14 20:56:17+00,Aymeric Laporte vs. England  Successful Passes: 78 Expected Threat: 0.13 Progression via pass: 5.32 Progression via carry: 5.09 https://t.co/gruOVoouFR
2024-07-14 02:14:15+00,Canada 2 : 2 Uruguay  ▪ xG: 3.01 - 1.53 ▪ xThreat: 1.3 - 1.13 ▪ Possession: 50.7% - 49.3% ▪ Field Tilt: 61.4% - 38.6% ▪ Def Action Height: 53.8 - 41.1 https://t.co/X3PoAr4ckf
2024-07-11 02:04:12+00,Uruguay 0 : 1 Colombia  ▪ xG: 0.89 - 1.64 ▪ xThreat: 1.65 - 1.27 ▪ Possession: 61.1% - 38.9% ▪ Field Tilt: 69.3% - 30.7% ▪ Def Action Height: 38.2 - 45.6 https://t.co/jxkUJKobZ8
2024-07-10 21:03:36+00,Netherlands 1 : 2 England  ▪ xG: 0.59 - 1.35 ▪ xThreat: 1.15 - 1.08 ▪ Possession: 41.4% - 58.6% ▪ Field Tilt: 35.5% - 64.5% ▪ Def Action Height: 41.3 - 50.1 https://t.co/KgFrFiW0UL
2024-07-10 21:03:57+00,Netherlands 1 : 2 England  ▪ Pass directness: 27.2 - 27.2 ▪ 10+ pass sequences: 17 - 25 ▪ Goalkick length: 22.8 - 42.0 ▪ Goalkick progr.: 30.5 - 50.5 https://t.co/HBSgFyOfdO
2024-07-10 21:04:00+00,John Stones vs. Netherlands  Successful Passes: 85 Expected Threat: 0.12 Progression via pass: 5.93 Progression via carry: 2.94 https://t.co/XwFQ2vvUCn
2024-07-10 01:58:23+00,Argentina 2 : 0 Canada  ▪ xG: 1.51 - 1.06 ▪ xThreat: 0.72 - 0.99 ▪ Possession: 51.3% - 48.7% ▪ Field Tilt: 31.8% - 68.2% ▪ Def Action Height: 40.6 - 53.4 https://t.co/Zik2tYsw7P
2024-07-10 01:58:42+00,Argentina 2 : 0 Canada  ▪ Pass directness: 28.8 - 29.5 ▪ 10+ pass sequences: 18 - 17 ▪ Goalkick length: 40.0 - 30.0 ▪ Goalkick progr.: 47.0 - 29.3 https://t.co/50pdsnUFFv
2024-07-10 01:58:45+00,Ismaël Koné vs. Argentina  Successful Passes: 60 Expected Threat: 0.19 Progression via pass: 4.95 Progression via carry: 4.07 https://t.co/mBMtUWi2vZ
2024-07-09 20:57:26+00,Spain 2 : 1 France  ▪ xG: 0.95 - 1.5 ▪ xThreat: 1.14 - 1.64 ▪ Possession: 57.8% - 42.2% ▪ Field Tilt: 53.6% - 46.4% ▪ Def Action Height: 43.4 - 48.3 https://t.co/229oXUN2Cq
2024-07-09 20:57:46+00,Spain 2 : 1 France  ▪ Pass directness: 31.4 - 31.2 ▪ 10+ pass sequences: 21 - 11 ▪ Goalkick length: 33.0 - 14.3 ▪ Goalkick progr.: 47.1 - 49.2 https://t.co/0bGsh166nB
2024-07-09 20:57:50+00,Aymeric Laporte vs. France  Successful Passes: 74 Expected Threat: 0.15 Progression via pass: 6.14 Progression via carry: 5.07 https://t.co/ACzcFTzGIX
