Home Team,Home Score,Away Score,Away Team,Home xG,Away xG,Home xThreat,Away xThreat,Home Pass directness,Away Pass directness,Home Penbox shots,Away Penbox shots,Home Possession,Away Possession,Home Field Tilt,Away Field Tilt,Home Def Action Height,Away Def Action Height,Home 10+ Pass Sequences,Away 10+ Pass Sequences,Home Goal Kick Length,Away Goal Kick Length,Home Goal Kick Progression,Away Goal Kick Progression
Albania,0.0,1.0,Spain,0.48,0.87,0.86,1.91,32.1,28.8,,,41.4,58.6,34.4,65.6,37.3,51.2,13.0,25.0,43.8,43.7,42.8,46.0
Almeria,0.0,2.0,Barcelona,0.92,1.7,0.76,2.02,32.4,30.6,,,35.5,64.5,22.4,77.6,35.9,54.0,12.0,30.0,33.4,26.4,35.6,42.3
Argentina,0.0,0.0,Colombia,,,,,,,7.0,8.0,,,,,,,,,,,,
Argentina,1.0,0.0,Colombia,0.81,0.88,1.64,2.07,34.2,31.5,,,44.4,55.6,48.1,51.9,42.0,44.0,14.0,24.0,36.1,39.2,39.2,41.5
Argentina,1.0,1.0,Ecuador,0.67,1.6,1.21,0.95,27.6,29.7,,,50.7,49.3,58.5,41.5,49.4,43.5,11.0,8.0,54.7,24.0,38.1,32.3
Argentina,2.0,0.0,Canada,3.32,1.11,1.48,1.0,28.8,34.4,,,64.6,48.7,66.0,68.2,49.9,53.4,23.0,17.0,40.0,31.8,47.0,45.1
Argentina,2.0,0.0,Peru,2.37,0.15,1.23,0.77,31.0,37.7,,,72.7,27.3,52.6,47.4,48.2,43.3,26.0,2.0,33.1,51.6,65.9,35.9
Arsenal,0.0,2.0,Aston Villa,1.57,0.89,1.69,0.69,33.6,30.2,,,51.7,48.3,65.6,34.4,51.4,39.7,17.0,14.0,11.0,17.8,54.4,38.8
Arsenal,2.0,0.0,Luton,1.37,0.2,1.28,1.06,31.0,30.0,,,57.9,42.1,57.1,42.9,55.0,39.4,25.0,14.0,39.4,47.9,56.2,17.5
Arsenal,2.0,1.0,Everton,3.9,0.59,2.7,0.73,25.7,35.1,,,68.1,31.9,86.3,13.7,56.5,29.6,32.0,6.0,18.4,44.9,58.2,28.5
Arsenal,2.0,2.0,Bayern,1.21,1.99,1.42,0.85,28.2,30.8,,,59.1,40.9,73.0,27.0,59.4,34.2,25.0,11.0,13.0,15.4,68.4,35.2
Arsenal,3.0,0.0,Bournemouth,3.69,0.62,2.27,0.79,34.1,28.5,20.0,2.0,55.7,44.3,77.9,22.1,48.4,39.1,14.0,7.0,22.0,22.4,52.3,36.8
Arsenal,5.0,0.0,Chelsea,3.4,1.48,2.0,0.97,33.9,27.9,19.0,6.0,45.0,55.0,62.6,37.4,52.2,37.3,14.0,23.0,8.2,16.2,34.6,41.6
Aston Villa,2.0,0.0,Wolves,1.02,1.56,1.1,1.23,,,,,47.9,52.1,50.7,49.3,47.1,50.7,,,,,,
Aston Villa,2.0,2.0,Chelsea,0.63,1.51,0.85,1.56,32.8,29.4,,,28.4,71.6,19.8,80.2,36.5,60.7,3.0,30.0,32.4,35.7,29.6,30.0
Aston Villa,3.0,1.0,Bournemouth,2.58,2.17,1.49,0.99,,,,,57.1,42.9,62.8,37.2,45.4,44.9,,,,,,
Aston Villa,3.0,3.0,Brentford,1.23,1.62,2.05,1.12,,,,,68.7,31.3,82.4,17.6,48.2,41.1,,,,,,
