id,text,created_at,edit_history_tweet_ids
1822301824382116280,"Manuel Akanji vs. Man Utd

Successful Passes: 80
Expected Threat: 0.11
Progression via pass: 5.7
Progression via carry: 2.67 https://t.co/0pPRKa6Gtr",2024-08-10T15:59:46.000Z,['1822301824382116280']
1822301806443040977,"Man City 1 : 1 Man Utd

▪ Pass directness: 23.8 - 31.5
▪ 10+ pass sequences: 16 - 14
▪ Goalkick length: 35.0 - 7.1
▪ Goalkick progr.: 41.2 - 37.7 https://t.co/nDlwpMFykg",2024-08-10T15:59:42.000Z,['1822301806443040977']
1822301759143862668,"Man City 1 : 1 Man Utd

▪ Penbox shots: 6 - 5
▪ Deep completions: 7 - 6
▪ Buildup completion: 90.2% - 85.7%
▪ PPDA: 11.7 - 13.3
▪ High turnovers: 6 - 0 https://t.co/OL6ONNdAmz",2024-08-10T15:59:30.000Z,['1822301759143862668']
1822301710200566271,"Man City 1 : 1 Man Utd

▪ xG: 0.5 - 1.21
▪ xThreat: 1.09 - 0.77
▪ Possession: 55.7% - 44.3%
▪ Field Tilt: 62.1% - 37.9%
▪ Def Action Height: 52.9 - 38.1 https://t.co/b5KMxMt396",2024-08-10T15:59:19.000Z,['1822301710200566271']
1812701674311721418,"Davinson Sánchez vs. Argentina

Successful Passes: 70
Expected Threat: 0.22
Progression via pass: 7.83
Progression via carry: 2.64 https://t.co/NYgtu5Kc1s",2024-07-15T04:12:12.000Z,['1812701674311721418']
1812701657169637526,"Argentina 1 : 0 Colombia

▪ Pass directness: 34.2 - 31.5
▪ 10+ pass sequences: 14 - 24
▪ Goalkick length: 36.1 - 39.2
▪ Goalkick progr.: 39.2 - 41.5 https://t.co/12BggQkbll",2024-07-15T04:12:08.000Z,['1812701657169637526']
1812701605487353905,"Argentina 1 : 0 Colombia

▪ Penbox shots: 10 - 9
▪ Deep completions: 12 - 15
▪ Buildup completion: 85.3% - 86.0%
▪ PPDA: 14.9 - 10.0
▪ High turnovers: 8 - 3 https://t.co/jFVBo3EtQK",2024-07-15T04:11:55.000Z,['1812701605487353905']
1812701554979582174,"Argentina 1 : 0 Colombia

▪ xG: 0.81 - 0.88
▪ xThreat: 1.64 - 2.07
▪ Possession: 44.4% - 55.6%
▪ Field Tilt: 48.1% - 51.9%
▪ Def Action Height: 42.0 - 44.0 https://t.co/JX1zy2n9KG",2024-07-15T04:11:43.000Z,['1812701554979582174']
1812691022398554195,"Argentina 0 : 0 Colombia

▪ Penbox shots: 7 - 8
▪ Deep completions: 9 - 11
▪ Buildup completion: 86.9% - 86.7%
▪ PPDA: 15.3 - 11.2
▪ High turnovers: 6 - 2 https://t.co/zfNcu4J1LC",2024-07-15T03:29:52.000Z,['1812691022398554195']
1812591973641158671,"Aymeric Laporte vs. England

Successful Passes: 78
Expected Threat: 0.13
Progression via pass: 5.32
Progression via carry: 5.09 https://t.co/gruOVoouFR",2024-07-14T20:56:17.000Z,['1812591973641158671']
1812591958646526206,"Spain 2 : 1 England

▪ Pass directness: 28.0 - 30.1
▪ 10+ pass sequences: 24 - 10
▪ Goalkick length: 22.1 - 52.6
▪ Goalkick progr.: 34.1 - 30.6 https://t.co/uBN0NtyZyS",2024-07-14T20:56:13.000Z,['1812591958646526206']
1812591911661924742,"Spain 2 : 1 England

▪ Penbox shots: 12 - 5
▪ Deep completions: 12 - 7
▪ Buildup completion: 91.0% - 79.7%
▪ PPDA: 8.7 - 11.8
▪ High turnovers: 5 - 4 https://t.co/UwhVuAuj3k",2024-07-14T20:56:02.000Z,['1812591911661924742']
1812591867214885153,"Spain 2 : 1 England

▪ xG: 2.55 - 0.92
▪ xThreat: 1.59 - 0.81
▪ Possession: 65.2% - 34.8%
▪ Field Tilt: 69.8% - 30.2%
▪ Def Action Height: 55.7 - 48.9 https://t.co/SDTmF0nJY0",2024-07-14T20:55:52.000Z,['1812591867214885153']
1812309605575446684,"Canada 2 : 2 Uruguay

▪ xG: 3.01 - 1.53
▪ xThreat: 1.3 - 1.13
▪ Possession: 50.7% - 49.3%
▪ Field Tilt: 61.4% - 38.6%
▪ Def Action Height: 53.8 - 41.1 https://t.co/X3PoAr4ckf",2024-07-14T02:14:15.000Z,['1812309605575446684']
1811219910846185680,"Uruguay 0 : 1 Colombia

▪ xG: 0.89 - 1.64
▪ xThreat: 1.65 - 1.27
▪ Possession: 61.1% - 38.9%
▪ Field Tilt: 69.3% - 30.7%
▪ Def Action Height: 38.2 - 45.6 https://t.co/jxkUJKobZ8",2024-07-11T02:04:12.000Z,['1811219910846185680']
1811144365429117204,"John Stones vs. Netherlands

Successful Passes: 85
Expected Threat: 0.12
Progression via pass: 5.93
Progression via carry: 2.94 https://t.co/XwFQ2vvUCn",2024-07-10T21:04:00.000Z,['1811144365429117204']
1811144350094741632,"Netherlands 1 : 2 England

▪ Pass directness: 27.2 - 27.2
▪ 10+ pass sequences: 17 - 25
▪ Goalkick length: 22.8 - 42.0
▪ Goalkick progr.: 30.5 - 50.5 https://t.co/HBSgFyOfdO",2024-07-10T21:03:57.000Z,['1811144350094741632']
1811144306201350504,"Netherlands 1 : 2 England

▪ Penbox shots: 6 - 5
▪ Deep completions: 7 - 8
▪ Buildup completion: 90.3% - 93.6%
▪ PPDA: 16.8 - 13.0
▪ High turnovers: 0 - 1 https://t.co/jnTkdtBSJ7",2024-07-10T21:03:46.000Z,['1811144306201350504']
1811144262417011175,"Netherlands 1 : 2 England

▪ xG: 0.59 - 1.35
▪ xThreat: 1.15 - 1.08
▪ Possession: 41.4% - 58.6%
▪ Field Tilt: 35.5% - 64.5%
▪ Def Action Height: 41.3 - 50.1 https://t.co/KgFrFiW0UL",2024-07-10T21:03:36.000Z,['1811144262417011175']
1810856151158038978,"Ismaël Koné vs. Argentina

Successful Passes: 60
Expected Threat: 0.19
Progression via pass: 4.95
Progression via carry: 4.07 https://t.co/mBMtUWi2vZ",2024-07-10T01:58:45.000Z,['1810856151158038978']
1810856139829264582,"Argentina 2 : 0 Canada

▪ Pass directness: 28.8 - 29.5
▪ 10+ pass sequences: 18 - 17
▪ Goalkick length: 40.0 - 30.0
▪ Goalkick progr.: 47.0 - 29.3 https://t.co/50pdsnUFFv",2024-07-10T01:58:42.000Z,['1810856139829264582']
1810856100671148532,"Argentina 2 : 0 Canada

▪ Penbox shots: 7 - 5
▪ Deep completions: 2 - 12
▪ Buildup completion: 87.4% - 87.5%
▪ PPDA: 13.7 - 9.9
▪ High turnovers: 1 - 6 https://t.co/gBTiP8JH4C",2024-07-10T01:58:33.000Z,['1810856100671148532']
1810856061718647188,"Argentina 2 : 0 Canada

▪ xG: 1.51 - 1.06
▪ xThreat: 0.72 - 0.99
▪ Possession: 51.3% - 48.7%
▪ Field Tilt: 31.8% - 68.2%
▪ Def Action Height: 40.6 - 53.4 https://t.co/Zik2tYsw7P",2024-07-10T01:58:23.000Z,['1810856061718647188']
1810780423779484072,"Aymeric Laporte vs. France

Successful Passes: 74
Expected Threat: 0.15
Progression via pass: 6.14
Progression via carry: 5.07 https://t.co/ACzcFTzGIX",2024-07-09T20:57:50.000Z,['1810780423779484072']
